	0	Today:2022-12-21->2022-12-22
2022-12-22 10:21:04	1	艾丽妮\n注册speech 36 项\n注册help 17 项\n注册reply 81 项\n注册script 17 份\n模块加载完毕√
2022-12-22 10:21:04	1	\n读取PublicDeck/中的10个文件, 共289个条目\n读取/mod/中的5枚mod\n读取/conf/CustomHelp.json中的7条帮助词条\n读取/plugin/中的12个脚本, 共44条指令，1项任务\n读取/conf/CustomMsgReply.json中的18条自定义回复\n扩展配置读取完毕√
2022-12-22 10:21:04	1	已手动加载艾丽妮的配置√
2022-12-22 10:23:46	1	艾丽妮\n注册speech 31 项\n注册help 15 项\n注册reply 76 项\n注册script 16 份\n模块加载完毕√
2022-12-22 10:23:46	1	\n读取PublicDeck/中的10个文件, 共289个条目\n读取/mod/中的4枚mod\n读取/conf/CustomHelp.json中的7条帮助词条\n读取/plugin/中的12个脚本, 共44条指令，1项任务\n读取/conf/CustomMsgReply.json中的18条自定义回复\n扩展配置读取完毕√
2022-12-22 10:23:46	1	已手动加载艾丽妮的配置√
2022-12-22 10:23:57	1	艾丽妮\n注册speech 31 项\n注册help 16 项\n注册reply 79 项\n注册script 19 份\n模块加载完毕√
2022-12-22 10:24:09	1	艾丽妮\n注册speech 31 项\n注册help 16 项\n注册reply 79 项\n注册script 19 份\n模块加载完毕√
2022-12-22 10:24:09	1	\n读取PublicDeck/中的10个文件, 共289个条目\n读取/mod/中的5枚mod\n读取/conf/CustomHelp.json中的7条帮助词条\n读取/plugin/中的12个脚本, 共44条指令，1项任务\n读取/conf/CustomMsgReply.json中的18条自定义回复\n扩展配置读取完毕√
2022-12-22 10:24:09	1	已手动加载艾丽妮的配置√
2022-12-22 10:31:57	1	艾丽妮\n注册speech 31 项\n注册help 16 项\n注册reply 79 项\n注册script 19 份\n模块加载完毕√
2022-12-22 10:31:57	1	\n读取PublicDeck/中的10个文件, 共289个条目\n读取/mod/中的5枚mod\n读取/conf/CustomHelp.json中的7条帮助词条\n读取/plugin/中的12个脚本, 共44条指令，1项任务\n读取/conf/CustomMsgReply.json中的18条自定义回复\n扩展配置读取完毕√
2022-12-22 10:31:57	1	已手动加载艾丽妮的配置√
2022-12-22 14:17:20	1	艾丽妮\n注册speech 31 项\n注册help 16 项\n注册reply 79 项\n注册script 19 份\n模块加载完毕√
2022-12-22 14:17:21	1	\n读取PublicDeck/中的10个文件, 共289个条目\n读取/mod/中的5枚mod\n读取/conf/CustomHelp.json中的7条帮助词条\n读取/plugin/中的12个脚本, 共44条指令，1项任务\n读取/conf/CustomMsgReply.json中的18条自定义回复\n扩展配置读取完毕√
2022-12-22 14:17:21	1	已手动加载艾丽妮的配置√
2022-12-22 16:25:50	0	遍历群列表
2022-12-22 16:25:59	0	遍历群列表
